tags,year,playtime_forever_sum
Dark Comedy,2016.0,422404
Dark Fantasy,2016.0,19907416
Dark Humor,2012.0,81594099
Dating Sim,2016.0,11317265
Demons,2016.0,2274909
Design & Illustration,2012.0,1947406
Destruction,2010.0,27624158
Detective,2012.0,5684093
Difficult,2012.0,881671677
Dinosaurs,2017.0,38836761
Diplomacy,2010.0,84195143
Documentary,2014.0,459750
Dragons,2017.0,38836761
Drama,2012.0,4871012
Driving,2013.0,10634669
Dungeon Crawler,2011.0,34826991
Dynamic Narration,2013.0,2103289
Dystopian,2013.0,14288552
Early Access,2013.0,120366296
Economy,2010.0,84828506
Education,2010.0,84196301
Episodic,2012.0,5868130
Experience,2015.0,84484
Experimental,2012.0,797068
Exploration,2011.0,160092411
FMV,2008.0,1563982
FPS,2012.0,988837674
Family Friendly,2011.0,156669450
Fantasy,2012.0,74611324
Fast-Paced,2012.0,811034157
Feature Film,2015.0,2586
Female Protagonist,2011.0,54855696
Fighting,2014.0,15351773
First-Person,2012.0,906195132
Fishing,2016.0,7038643
Flight,2000.0,44317832
Football,2015.0,36507413
Foreign,2016.0,1152
Free to Play,2013.0,151003203
Funny,2006.0,453339590
Futuristic,2012.0,162311316
Gambling,2015.0,3395014
Game Development,2012.0,1947406
GameMaker,2013.0,4858205
Games Workshop,2009.0,6080569
Gaming,2015.0,22753
God Game,2011.0,5018569
Golf,2016.0,625261
Gore,2009.0,152854984
Gothic,2016.0,2100445
Grand Strategy,2010.0,94693485
Great Soundtrack,2015.0,228483070
Grid-Based Movement,2012.0,673640
Gun Customization,2000.0,99783868
Hack and Slash,2013.0,137384168
Hacking,2011.0,15040437
Hand-drawn,2013.0,1666937
Hardware,2016.0,363
Heist,2000.0,99763914
Hex Grid,2010.0,82600458
Hidden Object,2012.0,392858
Historical,2010.0,140031275
Horror,2009.0,134653846
Horses,2010.0,39779629
Hunting,2012.0,16166695
Illuminati,2015.0,48995288
Indie,2006.0,452695352
Intentionally Awkward Controls,2013.0,2104273
Interactive Fiction,2014.0,1059421
Inventory Management,2013.0,2524846
Investigation,2011.0,2124648
Isometric,2012.0,24970273
JRPG,2014.0,18743920
Kickstarter,2014.0,6573841
LEGO,2013.0,2915352
Lara Croft,2013.0,5428088
Lemmings,2014.0,15209
Level Editor,2014.0,8296435
Linear,2010.0,10655759
Local Co-Op,2009.0,115948522
Local Multiplayer,2015.0,44140620
Loot,2012.0,91814582
Lore-Rich,2012.0,14634150
Lovecraftian,2016.0,2382941
MMORPG,2015.0,48357917
MOBA,2015.0,15680387
Magic,2014.0,27236928
Management,2015.0,69749569
Mars,2009.0,1230712
Martial Arts,2000.0,4766319
Massively Multiplayer,2006.0,449739191
Match 3,2015.0,1298971
Mature,2015.0,66729202
Mechs,2012.0,13937951
Medieval,2012.0,49944814
Memes,2012.0,80823992
Metroidvania,2013.0,6233815
Military,2012.0,798200775
Mini Golf,2016.0,867515
Minimalist,2012.0,1448551
Mining,2013.0,237833
Mod,2006.0,450300916
Moddable,2012.0,817879187
Modern,2010.0,41138888
Mouse only,2015.0,1673820
Movie,2015.0,302381
Multiplayer,2012.0,1131589441
Multiple Endings,2012.0,8471162
Music,2011.0,5321366
Music-Based Procedural Generation,2008.0,1740405
Mystery,2014.0,4605560
Mystery Dungeon,2015.0,5886
Mythology,2015.0,13130340
NSFW,2013.0,1638693
Narration,2013.0,2306541
Naval,2009.0,10213801
Ninja,2013.0,126482944
Noir,2013.0,2770583
Nonlinear,2011.0,4900560
Nudity,2013.0,85217015
Offroad,2014.0,2639688
On-Rails Shooter,2013.0,229451
Online Co-Op,2012.0,977134490
Open World,2013.0,279257716
Otome,2015.0,193919
Parkour,2013.0,132245202
Parody,2013.0,15281632
Party-Based RPG,2010.0,3554102
Perma Death,2012.0,46917254
Philisophical,2010.0,1472716
Photo Editing,2014.0,61659
Physics,2006.0,451234878
Pinball,2013.0,200562
Pirates,2015.0,5532114
Pixel Graphics,2011.0,156310706
Platformer,2011.0,184197486
Point & Click,2015.0,23203832
Political,2013.0,24455365
Politics,2012.0,9877451
Pool,2013.0,165747
Post-apocalyptic,2013.0,127079355
Procedural Generation,2014.0,32109543
Programming,2012.0,1947406
Psychedelic,2012.0,3796269
Psychological,2013.0,3197707
Psychological Horror,2015.0,5060076
Puzzle,2011.0,32619101
Puzzle-Platformer,2013.0,1161344
PvE,2013.0,130681259
PvP,2012.0,865755684
Quick-Time Events,2015.0,14038988
RPG,2012.0,284575748
RPGMaker,2012.0,2072231
RTS,2013.0,59691355
Racing,2015.0,102503043
Real Time Tactics,2013.0,18945498
Real-Time,2013.0,25397866
Real-Time with Pause,2013.0,29178109
Realistic,2012.0,786491975
Relaxing,2013.0,10440822
Remake,2014.0,31706455
Replay Value,2011.0,174743379
Resource Management,2015.0,18364556
Retro,2012.0,25938608
Rhythm,2014.0,2993603
Robots,2017.0,23454321
Rogue-like,2014.0,33560223
Rogue-lite,2014.0,30103456
Romance,2009.0,9021576
Rome,2013.0,17720202
Runner,2000.0,370795
Sailing,2005.0,430435
Sandbox,2006.0,460018769
Satire,2011.0,24616505
Sci-fi,2012.0,202068565
Science,2011.0,28512941
Score Attack,2000.0,17386022
Sexual Content,2015.0,2323678
Shooter,2012.0,992575221
Short,2014.0,9305801
Side Scroller,2012.0,27898507
Silent Protagonist,2004.0,11353039
Simulation,2006.0,466417609
Singleplayer,2006.0,473082468
Sniper,2012.0,3200706
Soccer,2015.0,36073068
Software,2014.0,2316066
Software Training,2014.0,423328
Sokoban,2013.0,41672
Soundtrack,2013.0,172148
Space,2013.0,127279649
Space Sim,2015.0,16574784
Spectacle fighter,2014.0,1987001
Spelling,2015.0,27761
Split Screen,2015.0,36883777
Sports,2015.0,41830043
Star Wars,2005.0,8422233
Stealth,2000.0,101373884
Steam Machine,2014.0,23052
Steampunk,2012.0,20982550
Story Rich,2015.0,97554594
Strategy,2012.0,948960814
Strategy RPG,2014.0,1788633
Stylized,2012.0,80945720
Superhero,2013.0,21855806
Supernatural,2012.0,1982005
Surreal,2013.0,4020259
Survival,2011.0,202401326
Survival Horror,2009.0,133305969
Swordplay,2012.0,18879034
Tactical,2012.0,878841145
Tactical RPG,2014.0,2098818
Tanks,2000.0,43890193
Team-Based,2012.0,863364326
Text-Based,2015.0,405087
Third Person,2015.0,194179154
Third-Person Shooter,2013.0,225982413
Thriller,2012.0,1212769
Time Attack,2009.0,2884325
Time Manipulation,2015.0,1715044
Time Travel,2013.0,7631132
Top-Down,2011.0,19636413
Top-Down Shooter,2015.0,3851804
Touch-Friendly,2010.0,85599266
Tower Defense,2011.0,19000400
TrackIR,2013.0,74675056
Trading,2012.0,785493878
Trading Card Game,2015.0,2256134
Trains,2016.0,3169350
Transhumanism,2013.0,2524846
Turn-Based,2010.0,90058333
Turn-Based Combat,2015.0,4377526
Turn-Based Strategy,2010.0,89883482
Turn-Based Tactics,2013.0,18046653
Tutorial,2014.0,11307
Twin Stick Shooter,2014.0,27396255
Typing,2013.0,402406
Underground,2002.0,19254
Underwater,2007.0,2744824
Utilities,2014.0,2734387
VR,2000.0,14893698
Vampire,2013.0,743757
Video Production,2015.0,1671790
Villain Protagonist,2015.0,686629
Violent,2012.0,25398911
Visual Novel,2012.0,5085139
Voice Control,2009.0,43737
Voxel,2015.0,23843454
Walking Simulator,2015.0,10844132
War,2012.0,843605739
Wargame,2014.0,2696458
Warhammer 40K,2009.0,6080569
Web Publishing,2012.0,1947406
Werewolves,2014.0,2715072
Western,2010.0,34720644
Word Game,2016.0,71913
World War I,2015.0,1875231
World War II,2000.0,43633232
Wrestling,2016.0,289792
Zombies,2009.0,143480940
e-sports,2012.0,785184267
etiquetas desconocidas,2008.0,2758
