app_name,positivo,neutral,negativo,playtime_forever,price,Action,Adventure,Casual,Desconocido,Education,Indie,Massively Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
AGFPPROV3 Premium,0,1,0,1,79.99,0,0,0,0,1,0,0,0,0,0,0,0,1
AI War: Fleet Command,0,3,0,190064,9.99,0,0,0,0,0,1,0,0,0,0,0,1,0
AKIBA'S TRIP: Undead ＆ Undressed,0,6,0,120943,29.99,1,1,1,0,0,0,0,1,0,0,0,0,0
ALPAGES : THE FIVE BOOKS,0,1,0,91,0.99,1,1,0,0,0,1,0,0,0,0,0,0,0
APB Reloaded,23,93,13,12971086,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0
APOX,0,2,0,14905,14.99,1,0,0,0,0,1,0,0,0,0,0,1,0
ARK: Survival Evolved,32,252,15,36080794,59.99,1,1,0,0,0,1,1,1,0,0,0,0,0
ARK: Survival Of The Fittest,0,7,1,240135,59.99,1,1,0,0,0,1,1,1,0,0,0,1,0
ARMA: Cold War Assault,2,10,2,163989,4.99,1,0,0,0,0,0,0,0,0,1,0,1,0
ARMA: Gold Edition,1,0,0,22771,9.99,1,0,0,0,0,0,0,0,0,1,0,1,0
ASRECorp,1,0,0,962,0.99,1,1,0,0,0,1,0,0,0,0,0,0,0
AXYOS,0,2,0,21839,7.99,1,0,0,0,0,1,1,0,0,0,0,0,0
AaAaAA!!! - A Reckless Disregard for Gravity,0,2,0,98573,9.99,1,0,0,0,0,1,0,0,0,0,1,0,0
Absolute Drift,1,6,0,64593,11.99,1,0,0,0,0,1,0,0,1,1,1,0,0
Abyss Odyssey,0,2,0,69966,14.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Ace Combat Assault Horizon - Enhanced Edition,1,3,0,132742,19.99,1,0,0,0,0,0,0,0,0,1,0,0,0
Ace of Spades: Battle Builder,15,112,17,4930321,14.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Act of Aggression - Reboot Edition,1,1,0,184340,29.99,0,0,0,0,0,0,0,0,0,0,0,1,0
Action Henk,0,1,0,16919,14.99,1,0,0,0,0,1,0,0,1,0,0,0,0
Action! - Gameplay Recording and Streaming,1,2,0,390165,49.99,0,0,0,0,0,0,0,0,0,0,0,0,1
Actual Sunlight,0,1,0,3499,4.99,0,1,0,0,0,1,0,0,0,0,0,0,0
AdVenture Capitalist,13,105,9,14261064,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0
AdVenture Communist,0,3,1,161181,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0
Adam's Venture Chronicles,0,1,0,632,9.99,0,1,0,0,0,1,0,0,0,0,0,0,0
Adorables,0,1,0,57654,2.99,0,0,1,0,0,1,0,0,0,0,1,1,0
Advent Rising,0,0,1,11486,9.99,1,0,0,0,0,0,0,0,0,0,0,0,0
Adventure Park,0,1,0,59830,19.99,0,0,0,0,0,0,0,0,0,1,0,1,0
Adventure Time: Finn and Jake Investigations,0,1,0,1423,9.99,0,1,0,0,0,0,0,0,0,0,0,0,0
Adventure Time: Finn and Jake's Epic Quest,0,1,0,16371,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Adventures of Shuggy,0,3,0,67435,4.99,0,0,0,0,0,1,0,0,0,0,0,0,0
Aeon Command,1,1,0,62612,2.99,0,0,1,0,0,1,0,0,0,0,0,1,0
Aero's Quest,0,2,0,14535,4.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Aerofly FS 1 Flight Simulator,1,0,0,15764,9.99,0,0,0,0,0,1,0,0,0,1,0,0,0
Afterlife Empire,0,0,1,92,4.99,0,0,1,0,0,1,0,0,0,0,0,1,0
Agarest: Generations of War,1,3,1,297926,14.99,0,1,0,0,0,0,0,1,0,0,0,1,0
Agarest: Generations of War Zero,0,1,0,96733,19.99,0,1,0,0,0,0,0,1,0,0,0,1,0
Age of Conquest IV,0,1,0,41512,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0
Age of Empires II HD,16,77,4,9973556,19.99,0,0,0,0,0,0,0,0,0,0,0,1,0
Age of Empires II HD: The African Kingdoms,0,1,0,1,9.99,0,0,0,0,0,0,0,0,0,0,0,1,0
Age of Empires® III: Complete Collection,8,29,0,4212141,39.99,0,0,0,0,0,0,0,0,0,1,0,1,0
Age of Wonders,1,0,0,31174,5.99,0,0,0,0,0,0,0,1,0,0,0,1,0
Agricultural Simulator 2013 - Steam Edition,0,1,1,29397,9.99,0,0,1,0,0,0,0,0,0,1,0,0,0
Air Brawl,0,5,0,26351,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0
Air Guardians,0,1,0,562,2.99,1,0,0,0,0,1,0,0,0,1,0,0,0
AirMech Strike,10,56,5,2717497,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0
Airport Madness: World Edition,0,2,0,11233,9.99,0,1,0,0,0,0,0,0,0,0,0,0,0
Airport Simulator 2014,1,4,0,37370,9.99,0,0,0,0,0,0,0,0,0,1,0,0,0
Airships: Conquer the Skies,1,2,0,24687,14.99,1,0,0,0,0,1,0,0,0,0,0,1,0
Akaneiro: Demon Hunters,0,1,0,11929,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0
Alan Wake,3,21,1,675189,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Alan Wake's American Nightmare,1,5,0,117168,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Albedo: Eyes from Outer Space,0,1,0,9792,14.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Albino Lullaby: Episode 1,0,1,0,1495,9.99,0,0,0,1,0,0,0,0,0,0,0,0,0
Alien Breed 2: Assault,0,0,2,26449,9.99,1,0,0,0,0,0,0,0,0,0,0,0,0
Alien Breed: Impact,0,1,0,37421,9.99,1,0,0,0,0,0,0,0,0,0,0,0,0
Alien Rage - Unlimited,0,2,1,21322,19.99,1,0,0,0,0,0,0,0,0,0,0,0,0
Alien Shooter,0,1,0,4599,4.99,1,0,0,0,0,1,0,1,0,0,0,0,0
Alien: Isolation,2,46,3,792940,39.99,1,0,0,0,0,0,0,0,0,0,0,0,0
Aliens versus Predator Classic 2000,1,5,0,78749,4.99,1,0,0,0,0,0,0,0,0,0,0,0,0
Aliens vs. Predator™,2,24,0,1222412,14.99,1,0,0,0,0,0,0,0,0,0,0,0,0
All Is Dust,0,1,1,1258,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
All Zombies Must Die!: Scorepocalypse,0,1,0,5170,4.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Alone in the Dark,0,1,0,8969,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Alpha Kimori™ 1,0,1,0,18290,9.99,0,1,1,0,0,1,0,1,0,0,0,1,0
Alpha Prime,0,1,1,13948,4.99,1,0,0,0,0,0,0,0,0,0,0,0,0
Alpha Protocol™,0,4,1,219260,14.99,1,0,0,0,0,0,0,1,0,0,0,0,0
Alphadia Genesis,0,1,0,5918,9.99,1,1,0,0,0,0,0,1,0,0,0,0,0
Altitude,1,5,1,291688,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0
Always Sometimes Monsters,1,6,0,147458,9.99,0,0,0,0,0,1,0,1,0,0,0,0,0
Amazing Frog?,1,1,0,48538,15.99,0,1,0,0,0,1,0,0,0,0,0,0,0
Amazing World™,2,5,1,46955,0.0,0,1,0,0,0,0,1,1,0,1,0,0,0
America's Army: Proving Grounds,4,16,1,1858049,,1,0,0,0,0,0,0,0,0,0,0,0,0
American Truck Simulator,3,13,0,689134,19.99,0,0,0,0,0,1,0,0,0,1,0,0,0
Amnesia: A Machine for Pigs,0,11,0,171786,19.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Amnesia: The Dark Descent,7,30,6,873283,19.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Amnesia™: Memories,0,1,0,30072,29.99,0,1,0,0,0,0,0,0,0,0,0,0,0
Among Ripples,1,5,0,4433,,0,0,1,0,0,1,0,0,0,1,0,0,0
Among the Sleep - Enhanced Edition,0,9,0,37580,16.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Ampersand,1,3,0,28836,0.99,0,0,0,0,0,1,0,0,1,0,0,0,0
Ampu-Tea,0,2,2,27605,4.99,0,1,1,0,0,1,0,1,0,1,0,0,0
Amygdala,0,1,0,5619,9.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Anachronox,0,1,0,17865,6.99,0,0,0,0,0,0,0,1,0,0,0,0,0
Analogue: A Hate Story,1,4,0,65038,9.99,0,0,0,0,0,1,0,0,0,0,0,0,0
Anarchy Arcade,3,13,2,365374,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0
Ancient Space,0,1,0,13146,19.99,0,0,0,0,0,0,0,0,0,0,0,1,0
And So It Was,0,1,0,0,1.99,1,1,0,0,0,1,0,0,0,0,0,0,0
And Yet It Moves,0,2,1,23285,9.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Angels Fall First,0,1,0,18980,17.99,1,0,0,0,0,0,0,0,0,1,0,0,0
Angry Birds Space,0,2,0,31134,4.99,0,0,1,0,0,0,0,0,0,0,0,0,0
Angry Video Game Nerd Adventures,0,7,1,80651,4.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Angry Video Game Nerd II: ASSimilation,0,0,1,4990,9.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Angry Video Game Nerd: The Movie,1,1,0,3027,2.99,0,0,0,1,0,0,0,0,0,0,0,0,0
Anna - Extended Edition,0,2,0,50382,9.99,0,1,0,0,0,1,0,0,0,0,0,0,0
Anna's Quest,1,0,0,9256,19.99,0,1,0,0,0,1,0,0,0,0,0,0,0
Anno 2205™,0,3,0,124532,39.99,0,0,0,0,0,0,0,0,0,1,0,1,0
Anno Online,1,1,0,82170,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0
Anomaly 2,0,1,0,37116,14.99,1,0,0,0,0,1,0,0,0,0,0,1,0
Anomaly: Warzone Earth,0,1,1,108606,9.99,1,0,0,0,0,1,0,0,0,0,0,1,0
Another Perspective,0,0,1,2316,5.99,0,1,0,0,0,1,0,0,0,0,0,0,0
Another World – 20th Anniversary Edition,0,1,0,6956,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Ant War: Domination,0,0,1,6278,2.99,0,0,1,0,0,1,0,0,0,1,0,1,0
Antenna,0,3,0,4047,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0
Antichamber,7,41,3,349595,19.99,0,1,0,0,0,1,0,0,0,0,0,0,0
Aozora Meikyuu,0,1,0,35830,4.99,0,1,0,0,0,1,0,0,0,0,0,0,0
Aperture Tag: The Paint Gun Testing Initiative,4,7,0,124187,4.99,1,1,1,0,0,1,0,0,0,0,0,0,0
Apocalypse Hotel - The Post-Apocalyptic Hotel Simulator!,1,0,0,199,6.99,0,0,1,0,0,1,0,1,0,1,0,0,0
Apotheon,1,3,0,70632,14.99,1,1,0,0,0,1,0,1,0,0,0,0,0
Arcadecraft,0,1,0,2999,9.99,0,0,1,0,0,1,0,0,0,1,0,1,0
ArcaniA,0,1,0,100060,19.99,0,0,0,0,0,0,0,1,0,0,0,0,0
ArcheAge,6,11,0,3220141,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0
ArcheBlade™,5,30,4,729954,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0
Arena Wars 2,0,2,0,3225,3.99,1,0,0,0,0,0,0,0,0,0,0,1,0
Arma 2,1,4,0,382118,12.99,1,0,0,0,0,0,0,0,0,1,0,1,0
Arma 2: Operation Arrowhead,19,65,5,36195443,19.99,1,0,0,0,0,0,0,0,0,1,0,1,0
Arma 3,35,215,20,63036570,39.99,1,0,0,0,0,0,0,0,0,1,0,1,0
Arma II: DayZ Mod,7,15,2,1088369,49.99,1,0,0,0,0,0,0,0,0,1,0,1,0
Armed with Wings: Rearmed,0,1,0,6367,9.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Armello,1,5,0,232919,19.99,0,1,0,0,0,1,0,1,0,0,0,1,0
Armikrog,0,1,0,5345,9.99,0,1,0,0,0,1,0,0,0,0,0,0,0
Assassin's Creed 2 Deluxe Edition,6,26,5,2641855,19.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Assassin's Creed Freedom Cry,1,3,0,73010,14.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Assassin's Creed® Syndicate,1,3,0,498858,39.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Assassin's Creed® Unity,4,29,6,944363,29.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Assassin's Creed™: Director's Cut Edition,1,3,0,726655,19.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Assassin’s Creed® Brotherhood,1,9,0,2029911,19.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Assassin’s Creed® Chronicles: China,0,3,0,33424,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Assassin’s Creed® III,4,20,3,3575765,19.99,0,1,0,0,0,0,0,0,0,0,0,0,0
Assassin’s Creed® IV Black Flag™,9,42,4,4850156,19.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Assassin’s Creed® Liberation HD,0,1,1,98483,19.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Assassin’s Creed® Rogue,0,6,0,373889,19.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Assault Android Cactus,0,3,0,27687,14.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Assetto Corsa,6,11,0,2120013,29.99,0,0,0,1,0,0,0,0,0,0,0,0,0
Astebreed: Definitive Edition,1,2,0,35610,19.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Asteria,0,1,0,15496,4.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Atlas Reactor,0,1,0,48547,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Atom Universe,0,1,0,374,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0
Atom Zombie Smasher,0,4,0,145150,9.99,0,0,0,0,0,1,0,0,0,0,0,1,0
Atulos Online,1,1,0,2774,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0
AudioSurf,8,32,0,1248813,9.99,0,0,0,0,0,1,0,0,0,0,0,0,0
Audioshield,2,2,0,20480,19.99,0,0,0,1,0,0,0,0,0,0,0,0,0
Audiosurf 2,2,13,0,381000,14.99,0,0,0,0,0,1,0,0,0,0,0,0,0
Audition Online,0,1,0,95577,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0
Auditorium,0,1,0,9591,6.99,0,0,1,0,0,1,0,0,0,0,0,0,0
Aura Kingdom,6,14,5,2757383,0.0,0,1,1,0,0,0,1,1,0,0,0,0,0
Autocraft,0,0,1,14318,9.99,0,0,1,0,0,1,0,0,0,1,0,0,0
Automation - The Car Company Tycoon Game,0,4,0,221766,29.99,0,0,0,0,0,0,0,0,0,1,0,1,0
Avadon 2: The Corruption,0,1,0,3161,9.99,0,0,0,0,0,1,0,1,0,0,0,1,0
Avaris 2: The Return of the Empress,0,1,0,33,7.99,1,0,1,0,0,0,0,0,0,1,0,0,0
Avenging Angel,0,1,0,4052,9.99,1,1,0,0,0,0,0,1,0,0,0,0,0
Avernum 2: Crystal Souls,1,0,0,19322,19.99,0,1,0,0,0,1,0,1,0,0,0,1,0
Aveyond 3-2: Gates of Night,0,1,0,2440,9.99,0,1,1,0,0,1,0,1,0,0,0,0,0
Aviary Attorney,2,0,0,6428,14.99,0,1,0,0,0,1,0,0,0,0,0,0,0
Avoid - Sensory Overload,1,0,0,7750,4.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Awesomenauts - the 2D moba,25,114,11,7842524,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0
Axel & Pixel,0,0,1,3880,4.99,0,0,0,0,0,1,0,0,0,0,0,0,0
Axiom Verge,0,1,0,38835,19.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Axis Game Factory's AGFPRO BattleMat Multi-Player DLC,0,1,0,0,14.99,0,0,0,0,1,0,0,0,0,0,0,0,1
Axis Game Factory's AGFPRO v3,0,1,0,24305,19.99,0,0,0,0,1,0,0,0,0,0,0,0,1
BEARZERKERS,0,1,0,240,12.99,1,0,1,0,0,1,0,0,0,0,0,0,0
BEEP,1,2,1,70341,1.99,0,1,0,0,0,1,0,0,0,0,0,0,0
BIOS,1,0,0,4167,14.99,1,0,0,0,0,1,0,0,0,0,0,0,0
BIT.TRIP BEAT,1,0,0,52398,9.99,1,0,1,0,0,1,0,0,0,0,0,0,0
BIT.TRIP CORE,0,1,0,11063,9.99,1,0,0,0,0,1,0,0,0,0,0,0,0
BIT.TRIP FATE,0,1,0,11363,9.99,1,0,0,0,0,1,0,0,0,0,0,0,0
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,4,10,1,225608,14.99,1,0,0,0,0,1,0,0,0,0,0,0,0
BIT.TRIP RUNNER,2,15,3,191060,9.99,1,0,0,0,0,1,0,0,0,0,0,0,0
BLADESTORM: Nightmare,0,1,0,12803,59.99,1,0,0,0,0,0,0,0,0,0,0,0,0
BLOCKADE 3D,6,41,4,866035,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
BRINK,2,4,2,809854,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
Back to Dinosaur Island,0,1,0,778,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0
Back to the Future: The Game,1,5,1,63621,19.99,0,1,0,0,0,0,0,0,0,0,0,0,0
Bad Bots,0,1,0,7194,4.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Bad Rats: the Rats' Revenge,14,74,18,250946,0.99,0,0,0,0,0,1,0,0,0,0,0,0,0
Baldur's Gate: Enhanced Edition,0,5,0,637125,19.99,0,0,0,0,0,0,0,1,0,0,0,1,0
Ballistic Overkill,0,2,0,3620,11.99,1,0,1,0,0,1,0,0,0,0,0,0,0
Ballpoint Universe - Infinite,1,1,0,34559,3.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Banished,8,50,3,3299400,19.99,0,0,0,0,0,1,0,0,0,1,0,1,0
Barbara-ian,0,1,0,293,5.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Bardbarian,0,2,0,43974,7.99,1,1,1,0,0,1,0,1,0,0,0,1,0
Basement,0,2,1,43847,9.99,0,0,0,0,0,1,0,0,0,1,0,1,0
Bastion,21,53,2,1030263,14.99,1,0,0,0,0,1,0,1,0,0,0,0,0
Batla,0,0,1,16404,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
Batman - The Telltale Series,3,5,1,18818,24.99,0,1,0,0,0,0,0,0,0,0,0,0,0
Batman: Arkham Asylum Game of the Year Edition,9,23,2,1676548,19.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Batman: Arkham City - Game of the Year Edition,8,68,3,3712882,19.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Batman™: Arkham Knight,8,57,3,1883846,19.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Batman™: Arkham Origins,7,63,1,2925459,19.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Batman™: Arkham Origins Blackgate - Deluxe Edition,0,0,1,35581,19.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Battle Brothers,0,1,0,84667,29.99,0,0,0,0,0,1,0,1,0,0,0,1,0
Battle Chess: Game of Kings™,0,1,0,2978,29.99,0,0,1,0,0,0,0,0,0,0,0,1,0
Battle Forever,0,1,0,1618,1.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Battle Islands,2,6,2,417388,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0
Battle for Blood - Epic battles within 30 seconds!,0,1,0,27921,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0
Battle of Empires : 1914-1918,0,3,0,90078,8.99,1,0,0,0,0,0,0,0,0,0,0,1,0
BattleBlock Theater®,25,113,13,1775435,14.99,1,1,1,0,0,1,0,0,0,0,0,0,0
BattleStick,1,2,0,2908,0.0,1,0,1,0,0,1,1,0,0,0,0,0,0
Battleborn,3,10,0,824948,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
Battlefield: Bad Company™ 2,6,33,6,12860971,19.99,1,0,0,0,0,0,0,0,0,0,0,0,0
Battlefleet Gothic: Armada,0,1,1,418376,39.99,0,0,0,0,0,0,0,0,0,0,0,1,0
Battlepaths,0,1,0,46724,4.99,0,0,0,0,0,1,0,1,0,0,0,0,0
Battlepillars Gold Edition,0,3,0,22512,4.99,1,0,1,0,0,1,0,0,0,0,0,1,0
Battlestations Pacific,0,4,0,211407,8.99,1,0,0,0,0,0,0,0,0,0,0,1,0
Battlestations: Midway,0,0,1,24699,6.99,1,0,0,0,0,0,0,0,0,0,0,0,0
Battlevoid: Harbinger,0,1,0,17536,9.99,1,0,0,0,0,1,0,0,0,1,0,1,0
Beach Bounce,0,1,0,19246,7.99,0,1,1,0,0,1,0,0,0,0,0,0,0
BeamNG.drive,2,10,1,1034519,24.99,0,0,0,0,0,0,0,0,1,1,0,0,0
Beat Hazard,4,17,1,384245,9.99,1,0,1,0,0,1,0,0,0,0,0,0,0
Beatbuddy: Tale of the Guardians,1,0,1,39250,9.99,1,1,1,0,0,1,0,0,0,0,0,0,0
Before the Echo,0,3,0,68712,4.99,0,0,0,0,0,1,0,1,0,0,0,0,0
Bejeweled® 3,0,1,1,786954,4.99,0,0,1,0,0,0,0,0,0,0,0,1,0
Ben and Ed,0,2,0,29203,9.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Besiege,9,60,2,1885805,7.99,0,0,0,0,0,1,0,0,0,1,0,0,0
Betrayer,0,1,0,67536,4.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Better Late Than DEAD,0,4,0,1446,14.99,1,1,0,0,0,1,0,0,0,0,0,0,0
Beware Planet Earth,0,1,0,14499,9.99,0,0,1,0,0,1,0,0,0,0,0,1,0
Beyond Good and Evil™,0,2,0,48017,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0
Beyond Gravity,0,1,0,13553,1.99,1,0,1,0,0,0,0,0,0,0,0,0,0
Beyond Sol,0,1,0,3911,9.99,1,0,0,0,0,1,0,0,0,0,0,1,0
Beyond Space Remastered Edition,0,1,0,4716,4.99,1,1,0,0,0,0,0,0,0,1,0,0,0
Bierzerkers,0,4,0,7081,4.99,1,0,0,0,0,1,0,0,0,0,0,0,0
Big Fish Legend,0,1,0,8701,6.99,0,1,1,0,0,1,0,0,0,0,0,0,0
Big Pharma,0,1,0,136322,24.99,0,0,0,0,0,1,0,0,0,1,0,1,0
Big Thinkers 1st Grade,1,0,0,48353,6.99,0,0,1,0,0,0,0,0,0,0,0,0,0
