user_id,item_id,posted,playtime_forever,genres
76561198043472122,33440,2014-12-19,22,desconocido
MarbleShrine,220200,2015-02-17,8592,"'Indie', 'Simulation'"
PPanther,211820,2014-06-07,11721,"'Action', 'Adventure', 'Casual', 'Indie', 'RPG'"
devvonst,218740,2014-02-09,29,"'Adventure', 'Indie'"
devvonst,550,2015-10-31,7022,'Action'
Fr0stedLine,220,2016-02-27,272,'Action'
76561198058373434,8870,2015-01-08,962,'Action'
76561198048353577,368230,2015-10-26,602,"'Indie', 'Simulation', 'Strategy'"
76561198048353577,4000,2016-05-16,84234,"'Indie', 'Simulation'"
76561198048353577,33930,2013-03-20,6684,"'Action', 'Simulation', 'Strategy'"
76561198066046412,359320,2015-12-28,635,Desconocido
76561198066046412,219640,2015-05-19,47800,"'Action', 'Indie'"
tru_mu_,287980,2015-12-15,620,"'Indie', 'Simulation', 'Strategy'"
76561198070565427,218620,2016-03-31,9813,Desconocido
76561198070565427,208090,2015-08-21,944,"'Action', 'Free to Play', 'Indie'"
76561198070565427,224260,2014-04-28,3061,"'Action', 'Free to Play', 'Indie'"
SavageEeEe,221100,2015-11-12,54642,"'Action', 'Indie', 'Massively Multiplayer', 'Early Access'"
KanadeTheNeko,331470,2014-11-20,45,"'Adventure', 'Casual', 'Free to Play', 'Indie'"
KanadeTheNeko,4000,2014-05-29,44455,"'Indie', 'Simulation'"
Leaf_Light_Moscow,323370,2016-07-09,390,"'Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG'"
GoAwayZach,304930,2014-12-29,8496,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
76561198054540475,12210,2015-02-13,6784,desconocido
76561198054540475,265210,2014-12-26,150,desconocido
76561198054540475,48700,2014-02-04,8044,"'Action', 'RPG'"
76561198085547365,238460,2016-06-16,667,"'Action', 'Adventure', 'Casual', 'Indie'"
76561198085547365,34900,2016-06-16,30,'Indie'
76561198061252210,730,2015-05-21,41281,'Action'
OfficialShroomsy,113200,2013-12-06,1319,"'Action', 'Adventure', 'Indie', 'RPG'"
boydeer,383080,2015-08-24,121,desconocido
VVillis,213670,2015-01-06,132,"'Action', 'Adventure', 'RPG'"
76561198083226897,105600,2015-12-22,12932,"'Action', 'Adventure', 'Indie', 'RPG'"
76561198075277292,730,2015-06-23,43739,'Action'
76561198028895010,231180,2013-04-22,1107,desconocido
76561198028895010,620,2012-05-27,1903,"'Action', 'Adventure'"
76561198170198366,271290,2016-01-18,416,desconocido
diego9031,4000,2016-07-30,21928,"'Indie', 'Simulation'"
diego9031,317360,2016-07-28,143,"'Action', 'Free to Play', 'Indie'"
diego9031,223710,2015-12-05,30,"'Action', 'Adventure', 'Indie'"
diego9031,299360,2015-10-04,577,"'Action', 'Free to Play', 'Massively Multiplayer', 'Strategy'"
diego9031,1250,2015-08-13,1204,'Action'
diego9031,12100,2015-02-22,603,'Action'
diego9031,204360,2015-01-14,665,"'Action', 'Adventure', 'Casual', 'Indie', 'RPG'"
diego9031,224260,2013-12-01,1116,"'Action', 'Free to Play', 'Indie'"
76561198078738103,304930,2016-02-20,2154,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
76561198070194565,233250,2014-10-09,3474,desconocido
76561198070194565,449140,2016-05-07,361,"'Free to Play', 'Indie', 'Strategy'"
76561198070194565,368730,2016-05-07,33,"'Action', 'Adventure', 'Casual', 'Indie'"
76561198070194565,246280,2016-04-04,827,desconocido
76561198070194565,427270,2016-03-30,379,"'Action', 'Free to Play', 'Strategy'"
76561198070194565,397100,2016-03-28,755,"'Free to Play', 'Indie', 'Simulation', 'Early Access'"
76561198070194565,248570,2015-11-09,1039,"'Action', 'Free to Play', 'Indie', 'Strategy'"
Rivtex,298630,2015-12-23,5145,"'Action', 'Adventure', 'Indie', 'Simulation', 'Strategy'"
Rivtex,298630,2015-12-23,5145,"'Action', 'Adventure', 'Indie', 'Simulation', 'Strategy'"
UTNerd24,244210,2014-05-06,128,Desconocido
UTNerd24,376920,2015-06-06,20,"'Action', 'Casual', 'Indie'"
UTNerd24,257750,2015-09-29,43,"'Action', 'Adventure', 'Casual', 'Indie'"
UTNerd24,221910,2014-09-08,164,"'Adventure', 'Indie'"
UTNerd24,2280,2013-12-15,27,'Action'
sandwiches1,417860,2015-11-23,55,"'Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation'"
Life-Of-Blu,377160,2015-11-13,4509,'RPG'
Life-Of-Blu,211820,2013-12-15,8729,"'Action', 'Adventure', 'Casual', 'Indie', 'RPG'"
CaptianAutismo,252490,2015-12-17,26620,"'Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access'"
TheDropix101,242920,2016-01-11,1075,"'Indie', 'Simulation', 'Strategy'"
kube134,251990,2014-06-28,181,"'Indie', 'RPG', 'Simulation', 'Strategy'"
iamthekingofbrowntown,344760,2015-09-12,917,"'Action', 'Adventure', 'Indie', 'RPG', 'Simulation'"
iamthekingofbrowntown,252950,2015-09-13,5512,"'Action', 'Indie', 'Racing', 'Sports'"
iamthekingofbrowntown,236430,2016-04-20,2649,"'Action', 'RPG'"
MainScout,550,2016-02-26,22568,'Action'
yookobz,377160,2015-11-19,3899,'RPG'
yookobz,219150,2013-06-25,353,"'Action', 'Indie'"
Posiblydead,277430,2014-04-11,335,'Action'
Posiblydead,239820,2014-02-22,483,"'Casual', 'Indie', 'Simulation', 'Strategy'"
Posiblydead,17410,2012-09-24,1146,"'Action', 'Adventure'"
76561198102421718,270550,2015-06-12,117,"'Action', 'Casual', 'Indie', 'Strategy'"
76561198102421718,274940,2015-08-03,1156,"'Action', 'Indie'"
76561198102421718,333930,2015-06-26,1454,"'Action', 'Free to Play'"
76561198056741844,730,2014-10-14,37986,'Action'
sad-commie,294100,2016-08-31,12272,"'Indie', 'Simulation', 'Strategy', 'Early Access'"
sad-commie,212070,2014-07-09,324,"'Action', 'Free to Play', 'Massively Multiplayer', 'Simulation'"
sad-commie,264140,2014-03-13,1272,"'Adventure', 'Indie', 'RPG', 'Simulation'"
76561198030567998,332800,2014-11-11,22,'Indie'
76561198030567998,319630,2015-07-21,2092,"'Action', 'Adventure'"
76561198030567998,6020,2015-07-05,1884,'Action'
76561198030567998,55230,2015-03-12,12749,'Action'
76561198030567998,32430,2014-02-23,2748,'Action'
Coldaniel,35450,2015-03-22,7635,"'Action', 'Massively Multiplayer', 'Simulation'"
Coldaniel,236390,2015-03-13,20531,Desconocido
therealmorty,351570,2015-03-20,1,Desconocido
therealmorty,212680,2015-03-07,365,"'Indie', 'Simulation', 'Strategy'"
Berserklejerker,391540,2015-10-10,1643,"'Indie', 'RPG'"
76561198061730629,550,2014-07-06,6287,'Action'
possessioniskey,72850,2015-04-11,5648,desconocido
76561198060447950,200510,2015-09-26,2190,'Strategy'
whiteofwolfing,730,2015-05-22,94334,'Action'
sergarino,383080,2015-08-22,39080,desconocido
76561198081962345,200210,2016-05-26,30338,"'Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG'"
76561198073210139,304050,2016-01-18,153,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG'"
Nozomikat,265610,2015-12-30,966,"'Adventure', 'RPG'"
Nozomikat,264200,2014-08-01,151,"'Action', 'Casual', 'Indie'"
Nozomikat,417860,2015-12-26,42,"'Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation'"
Nozomikat,333600,2015-04-14,196,desconocido
Nozomikat,213670,2014-12-30,2764,"'Action', 'Adventure', 'RPG'"
Nozomikat,91310,2013-12-04,3979,desconocido
Nozomikat,437220,2016-08-19,4859,desconocido
Nozomikat,210770,2013-12-04,227,"'Action', 'Indie', 'Strategy'"
xfluttersx,351640,2015-11-10,388,"'Action', 'Free to Play', 'Indie', 'RPG'"
xfluttersx,202530,2016-09-14,29,Desconocido
xfluttersx,105600,2012-08-27,2982,"'Action', 'Adventure', 'Indie', 'RPG'"
xfluttersx,47870,2013-01-27,639,'Racing'
xfluttersx,383080,2015-08-25,203,desconocido
76561198056290589,730,2014-12-16,55168,'Action'
ii_voltage_ii,253710,2014-06-29,15,"'Action', 'Adventure', 'Free to Play', 'Simulation', 'Sports'"
ii_voltage_ii,339280,2015-04-11,1024,"'Action', 'Free to Play', 'RPG', 'Strategy'"
ii_voltage_ii,271290,2014-03-08,455,desconocido
ii_voltage_ii,203290,2013-11-16,1202,"'Action', 'Free to Play'"
Hirukaz,550,2013-01-17,4397,'Action'
StelerForYou,730,2015-07-17,172753,'Action'
StelerForYou,211820,2013-12-29,6071,"'Action', 'Adventure', 'Casual', 'Indie', 'RPG'"
Xx-Woods,346330,2016-07-20,38,"'Action', 'Adventure', 'Free to Play', 'Indie', 'Early Access'"
Xx-Woods,224260,2015-01-26,1253,"'Action', 'Free to Play', 'Indie'"
Xx-Woods,295550,2014-08-17,971,"'Free to Play', 'Massively Multiplayer', 'RPG'"
Xx-Woods,250180,2014-07-21,326,'Action'
Xx-Woods,227940,2014-07-19,795,"'Action', 'Free to Play', 'Indie', 'Massively Multiplayer'"
kevinator23,320760,2015-07-06,705,'Adventure'
kevinator23,8850,2015-09-06,1702,'Action'
kevinator23,233720,2014-04-24,419,"'Action', 'Indie', 'Simulation'"
kevinator23,218620,2015-07-06,21461,Desconocido
kevinator23,730,2015-01-27,21527,'Action'
kevinator23,219740,2015-01-25,1290,desconocido
kevinator23,220240,2014-05-24,3678,"'Action', 'Adventure'"
76561198090715178,4000,2014-03-28,9098,"'Indie', 'Simulation'"
76561198090715178,304930,2014-07-09,2503,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
76561198073784601,221100,2015-03-26,45855,"'Action', 'Indie', 'Massively Multiplayer', 'Early Access'"
mimimomoma,730,2015-11-23,119850,'Action'
de_Butl3r,209870,2014-10-13,15802,"'Action', 'Free to Play'"
76561198027947401,322170,2016-07-23,1292,"'Action', 'Indie'"
76561198027947401,304050,2016-02-20,3377,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG'"
Bluezap1,730,2015-05-13,48969,'Action'
Bluezap1,362890,2015-12-27,589,"'Action', 'Adventure', 'Indie', 'Early Access'"
Bluezap1,413850,2015-12-21,0,Desconocido
76561198074200011,730,2015-11-15,68487,'Action'
jonasdbomb,346110,2016-09-09,6718,"'Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG'"
Lord_Exploit,311560,2015-03-13,2491,"'Action', 'Adventure'"
Lord_Exploit,322170,2015-01-07,45,"'Action', 'Indie'"
AVATAR715,48240,2014-01-02,41,desconocido
AVATAR715,248570,2014-06-01,246,"'Action', 'Free to Play', 'Indie', 'Strategy'"
AVATAR715,264140,2014-03-18,259,"'Adventure', 'Indie', 'RPG', 'Simulation'"
AVATAR715,4000,2014-02-16,84437,"'Indie', 'Simulation'"
AVATAR715,266430,2015-02-25,100,"'Casual', 'Free to Play', 'Indie', 'Early Access'"
AVATAR715,316010,2015-08-15,22,"'Free to Play', 'Strategy'"
AVATAR715,249570,2014-12-25,2127,"'Indie', 'Massively Multiplayer', 'Strategy'"
YieuwMage,730,2016-02-22,24823,'Action'
A-Very-Sly-Person,304930,2015-08-14,76632,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
76561197994493402,365590,2016-06-20,22494,"'Action', 'Adventure', 'RPG'"
76561197994493402,264200,2015-03-01,584,"'Action', 'Casual', 'Indie'"
76561198065656175,383080,2015-11-20,1146,desconocido
97396295,301520,2014-08-23,1057,"'Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation'"
97396295,243870,2014-06-17,2107,desconocido
97396295,218230,2014-07-10,10078,"'Action', 'Free to Play', 'Massively Multiplayer'"
97396295,291550,2016-08-26,3282,"'Action', 'Free to Play', 'Indie'"
76561198126640317,251570,2015-06-15,2971,desconocido
76561198126640317,221100,2015-02-14,8584,"'Action', 'Indie', 'Massively Multiplayer', 'Early Access'"
76561198126640317,316010,2015-09-12,211,"'Free to Play', 'Strategy'"
76561198126640317,218230,2015-09-12,460,"'Action', 'Free to Play', 'Massively Multiplayer'"
76561198126640317,333930,2015-07-01,2175,"'Action', 'Free to Play'"
76561198126640317,222880,2015-07-01,384,"'Action', 'Indie', 'Strategy'"
76561198126640317,730,2015-06-15,91215,'Action'
DemonicWolvz,55230,2015-01-15,2892,'Action'
DemonicWolvz,232090,2015-04-29,3075,'Action'
DemonicWolvz,4000,2015-03-29,3990,"'Indie', 'Simulation'"
DemonicWolvz,206420,2014-11-23,5805,"'Action', 'Adventure'"
DemonicWolvz,224260,2014-02-12,991,"'Action', 'Free to Play', 'Indie'"
DemonicWolvz,550,2013-12-26,4932,'Action'
DieMadchenschanderin,346110,2015-08-29,229,"'Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG'"
DieMadchenschanderin,346110,2015-08-29,229,"'Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG'"
DieMadchenschanderin,380770,2015-10-05,163,desconocido
DieMadchenschanderin,380770,2015-10-05,163,desconocido
DieMadchenschanderin,454890,2016-06-29,60,"'Action', 'Casual', 'Indie'"
DieMadchenschanderin,454890,2016-06-29,60,"'Action', 'Casual', 'Indie'"
GGargula,233250,2015-11-23,344,desconocido
Myther43,273350,2016-07-16,553,"'Action', 'Free to Play'"
getf0kinn0sc0pedm9,730,2015-05-31,61193,'Action'
76561198141443390,730,2015-05-03,148507,'Action'
whodafuqisthisguilao,730,2015-08-06,56450,'Action'
Magjiikal,370480,2015-10-05,582,"'Action', 'Indie'"
Magjiikal,313740,2015-12-17,645,desconocido
ohnospaghet,266210,2015-03-10,105,"'Indie', 'RPG'"
ohnospaghet,369200,2016-01-16,55,desconocido
ohnospaghet,252490,2016-03-05,2203,"'Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access'"
ohnospaghet,264200,2015-03-10,180,"'Action', 'Casual', 'Indie'"
76561198050347115,292030,2016-03-19,11327,desconocido
2768820078,287700,2015-09-01,72,"'Action', 'Adventure'"
2768820078,730,2016-04-19,31988,'Action'
2768820078,310950,2016-04-18,2263,'Action'
2768820078,377160,2015-11-18,25220,'RPG'
2768820078,221380,2015-08-08,6528,'Strategy'
2768820078,333950,2015-07-15,11287,"'Action', 'Indie', 'Simulation', 'Strategy', 'Early Access'"
2768820078,222420,2015-06-12,1481,'Action'
2768820078,271590,2015-05-19,11894,"'Action', 'Adventure'"
2768820078,298110,2015-05-11,3367,"'Action', 'Adventure'"
2768820078,222440,2015-05-02,10101,'Action'
76561198056392326,259530,2016-02-07,122,"'Action', 'Indie'"
76561198056392326,219640,2016-01-30,151,"'Action', 'Indie'"
76561198056392326,269210,2016-01-30,194,"'Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG'"
2d4nk4m3,317470,2014-08-20,28,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie', 'Massively Multiplayer'"
2d4nk4m3,47410,2014-03-18,7440,"'Free to Play', 'Massively Multiplayer', 'Strategy'"
76561198078478151,730,2016-04-10,925,'Action'
exiaez,365450,2016-09-15,519,"'Indie', 'Simulation'"
76561198095921854,245620,2015-05-01,1231,"'RPG', 'Simulation', 'Strategy'"
EizanAratoFujimaki,70,2015-10-28,1395,'Action'
TeCool,274980,2014-12-15,247,"'Indie', 'Simulation', 'Strategy'"
TeCool,202090,2014-12-06,19624,desconocido
TeCool,339280,2015-04-11,1125,"'Action', 'Free to Play', 'RPG', 'Strategy'"
2xDelorean,212680,2013-07-26,1112,"'Indie', 'Simulation', 'Strategy'"
2xDelorean,200210,2013-05-18,1983,"'Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG'"
washington_,4000,2016-08-19,16363,"'Indie', 'Simulation'"
washington_,211820,2016-08-19,1186,"'Action', 'Adventure', 'Casual', 'Indie', 'RPG'"
washington_,10180,2016-08-19,199,'Action'
washington_,252490,2016-08-19,14071,"'Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access'"
washington_,417860,2015-12-13,18,"'Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation'"
76561198088944293,359550,2016-06-22,2001,'Action'
76561198088944293,107410,2016-07-14,42735,"'Action', 'Simulation', 'Strategy'"
76561198088944293,218230,2016-06-27,486,"'Action', 'Free to Play', 'Massively Multiplayer'"
76561198088944293,304930,2014-12-13,4146,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
76561198051258119,730,2015-02-04,22534,'Action'
nubquake123,265610,2014-04-21,4884,"'Adventure', 'RPG'"
Pyromanic,31280,2013-02-15,200,"'Casual', 'Sports'"
Pyromanic,4000,2013-02-15,276,"'Indie', 'Simulation'"
Pyromanic,240,2013-02-15,94,'Action'
CobRazor,252490,2015-08-01,3621,"'Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access'"
relesprit,8930,2013-12-27,7250,'Strategy'
relesprit,8930,2013-12-27,7250,'Strategy'
WitchHunter4542,304930,2014-07-16,10177,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
WitchHunter4542,237310,2015-01-13,4906,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG'"
WitchHunter4542,224260,2014-01-11,1771,"'Action', 'Free to Play', 'Indie'"
pwrt,230410,2015-09-03,142589,"'Action', 'Free to Play'"
76561198115868847,219640,2016-05-01,2003,"'Action', 'Indie'"
76561198031207016,8930,2014-03-17,25902,'Strategy'
76561198043458582,105600,2015-07-19,16204,"'Action', 'Adventure', 'Indie', 'RPG'"
76561198043458582,221100,2015-05-26,2716,"'Action', 'Indie', 'Massively Multiplayer', 'Early Access'"
76561198043458582,107410,2015-11-22,29825,"'Action', 'Simulation', 'Strategy'"
76561198043458582,231430,2014-10-18,2890,'Strategy'
smashiroshh,218620,2014-12-30,17269,Desconocido
shark854,225540,2016-03-07,935,"'Action', 'Adventure'"
killbunny38,333930,2015-08-20,194,"'Action', 'Free to Play'"
76561198047630659,230410,2015-05-14,5335,"'Action', 'Free to Play'"
76561198047630659,230410,2015-05-14,5335,"'Action', 'Free to Play'"
1337lolroflmao,271590,2015-04-13,11950,"'Action', 'Adventure'"
1337lolroflmao,218620,2014-10-01,15752,Desconocido
1337lolroflmao,219740,2013-12-28,1084,desconocido
1337lolroflmao,7940,2013-12-28,1955,'Action'
1337lolroflmao,234190,2014-11-30,217,"'Action', 'Indie', 'Simulation'"
1337lolroflmao,10180,2013-12-28,905,'Action'
1337lolroflmao,33900,2013-12-28,2281,"'Action', 'Simulation', 'Strategy'"
1337lolroflmao,261030,2015-01-05,506,'Adventure'
1337lolroflmao,243470,2014-12-23,1562,"'Action', 'Adventure'"
OzfurAtlas,218620,2016-01-10,109,Desconocido
OzfurAtlas,4700,2016-09-12,4112,'Strategy'
OzfurAtlas,212680,2013-12-08,2714,"'Indie', 'Simulation', 'Strategy'"
76561198065593074,304930,2015-11-06,3472,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
76561198065593074,730,2016-06-25,2570,'Action'
76561198065593074,304050,2015-09-23,966,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG'"
76561198065593074,203750,2014-05-31,952,'Action'
76561198044169764,227940,2015-06-24,4344,"'Action', 'Free to Play', 'Indie', 'Massively Multiplayer'"
76561198044169764,355180,2015-07-22,84,"'Action', 'Free to Play'"
76561198044169764,730,2016-03-20,29842,'Action'
76561198044169764,4000,2015-06-03,244352,"'Indie', 'Simulation'"
euzi,236390,2014-07-26,41384,Desconocido
76561198087010391,4000,2015-04-04,23435,"'Indie', 'Simulation'"
66666669999999,302830,2015-01-05,52,"'Action', 'Free to Play', 'Early Access'"
76561198061174192,220200,2014-09-14,8368,"'Indie', 'Simulation'"
76561198061174192,242760,2014-09-14,154,"'Action', 'Adventure', 'Indie', 'Simulation', 'Early Access'"
ReMiXOfficalSteam,352460,2015-10-12,74,"'Action', 'Adventure', 'Indie', 'Strategy'"
Wilfire77,322920,2015-03-22,1279,"'Action', 'Adventure', 'Simulation'"
76561198084390807,252490,2014-05-10,1181,"'Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access'"
Mastic,304050,2015-08-01,133,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG'"
Mastic,297130,2016-06-29,238,"'Action', 'Adventure', 'Indie'"
Mastic,397570,2016-03-25,87,"'Action', 'Indie'"
Mastic,550,2014-12-30,6642,'Action'
Mastic,206420,2014-12-27,3044,"'Action', 'Adventure'"
Mastic,278360,2016-07-07,230,"'Adventure', 'Casual', 'Indie'"
76561198028286104,10180,2013-12-26,10169,'Action'
tarjla,242760,2016-08-26,6368,"'Action', 'Adventure', 'Indie', 'Simulation', 'Early Access'"
tarjla,304930,2014-07-13,11492,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
tarjla,441790,2016-08-26,105,"'Action', 'Indie', 'RPG'"
tarjla,265750,2015-01-28,110,"'Action', 'Indie'"
tarjla,252490,2014-05-08,76144,"'Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access'"
tarjla,4000,2013-11-21,80364,"'Indie', 'Simulation'"
tarjla,211820,2013-12-07,4639,"'Action', 'Adventure', 'Casual', 'Indie', 'RPG'"
tarjla,105600,2013-02-09,15281,"'Action', 'Adventure', 'Indie', 'RPG'"
tarjla,251570,2016-08-26,6474,desconocido
tarjla,730,2014-01-09,23614,'Action'
deathnz1,233110,2016-07-18,665,"'Indie', 'Strategy'"
deathnz1,322910,2016-07-16,343,"'Action', 'Indie', 'Strategy'"
deathnz1,276340,2014-12-26,207,"'Casual', 'Simulation', 'Sports'"
readingthis4noobs,227940,2016-05-14,33715,"'Action', 'Free to Play', 'Indie', 'Massively Multiplayer'"
76561198104393251,304930,2015-03-13,5012,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
76561198075322986,730,2016-03-30,39916,'Action'
redsncrimson,448530,2016-06-18,240,'Indie'
redsncrimson,304410,2016-03-20,2864,"'Casual', 'Indie', 'Strategy'"
redsncrimson,620,2016-03-20,10376,"'Action', 'Adventure'"
redsncrimson,274920,2014-12-23,2318,"'Animation &amp; Modeling', 'Video Production'"
redsncrimson,211820,2013-12-26,8148,"'Action', 'Adventure', 'Casual', 'Indie', 'RPG'"
redsncrimson,219890,2016-03-20,746,"'Adventure', 'Indie'"
redsncrimson,49520,2013-05-18,16387,"'Action', 'RPG'"
redsncrimson,223510,2013-01-09,2703,"'Action', 'Adventure', 'Indie'"
76561198151910904,252950,2016-04-22,3779,"'Action', 'Indie', 'Racing', 'Sports'"
H1DD3NT3RR0R,240,2014-03-10,11941,'Action'
H1DD3NT3RR0R,105600,2014-02-27,34076,"'Action', 'Adventure', 'Indie', 'RPG'"
H1DD3NT3RR0R,204300,2013-11-25,16352,"'Action', 'Free to Play', 'Indie', 'Strategy'"
H1DD3NT3RR0R,730,2014-06-11,28611,'Action'
76561198071214618,268750,2015-05-11,1085,"'Action', 'Adventure', 'Indie', 'RPG'"
t8s,360870,2015-05-13,5,"'Casual', 'Free to Play'"
t8s,730,2015-05-02,42273,'Action'
pikawuu2,230410,2016-03-12,178021,"'Action', 'Free to Play'"
pikawuu2,12900,2013-09-15,5794,'Indie'
Sammeh00,301520,2014-11-04,20972,"'Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation'"
Michaelele,6060,2014-08-07,3192,'Action'
Michaelele,730,2014-06-30,115670,'Action'
Michaelele,107410,2014-08-21,86,"'Action', 'Simulation', 'Strategy'"
Michaelele,304930,2014-07-16,1297,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
76561198045754869,335670,2015-08-07,2892,"'Adventure', 'Indie', 'RPG'"
76561198076098774,215080,2015-08-02,27931,"'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy'"
76561198048417105,271590,2015-12-28,21181,"'Action', 'Adventure'"
76561198048417105,730,2015-02-27,67443,'Action'
76561198048417105,244160,2016-08-13,367,"'Simulation', 'Strategy'"
76561198048417105,270880,2016-02-14,7090,"'Indie', 'Simulation'"
76561198090842891,8190,2015-01-16,6531,"'Action', 'Adventure'"
76561197998052647,233630,2014-11-27,739,desconocido
adohya343,303390,2016-02-24,15,"'Action', 'Casual', 'Indie'"
76561198145436942,221100,2014-08-02,67256,"'Action', 'Indie', 'Massively Multiplayer', 'Early Access'"
3xotic26,500,2014-02-26,12599,'Action'
3xotic26,49520,2014-02-26,2319,"'Action', 'RPG'"
3xotic26,550,2013-07-15,6174,'Action'
iamthetrashlord,206420,2015-06-16,5118,"'Action', 'Adventure'"
iamthetrashlord,213670,2014-07-20,2973,"'Action', 'Adventure', 'RPG'"
3dster,550,2015-08-24,352,'Action'
76561198079990063,231040,2014-03-14,644,"'Action', 'Adventure', 'Casual', 'Indie'"
Forty-Nine,221100,2014-08-28,2578,"'Action', 'Indie', 'Massively Multiplayer', 'Early Access'"
Forty-Nine,376300,2016-01-11,2393,'Action'
76561198051017916,351040,2015-05-30,88,desconocido
76561198051017916,250600,2014-05-26,28,"'Casual', 'Free to Play', 'Indie'"
L4M1NAS,227940,2016-08-15,2524,"'Action', 'Free to Play', 'Indie', 'Massively Multiplayer'"
L4M1NAS,227940,2016-08-15,2524,"'Action', 'Free to Play', 'Indie', 'Massively Multiplayer'"
